,conditional_mode,Noise level,Wrong outputs (%)
0,multiplicative,0.0,0.0
1,multiplicative,0.0,0.0
2,multiplicative,0.0,0.0
3,multiplicative,0.0,0.0
4,multiplicative,0.0,0.0
5,multiplicative,0.0,0.0
6,multiplicative,0.0,0.0
7,multiplicative,0.0,0.0
8,multiplicative,0.0,0.0
9,multiplicative,0.0,0.0
10,multiplicative,0.0,0.0
11,multiplicative,0.0,0.0
12,multiplicative,0.0,0.0
13,multiplicative,0.0,0.0
14,multiplicative,0.0,0.0
15,multiplicative,0.0,0.0
16,multiplicative,0.0,0.0
17,multiplicative,0.0,0.0
18,multiplicative,0.0,0.0
19,multiplicative,0.0,0.0
20,multiplicative,0.0,0.0
21,multiplicative,0.0,0.0
22,multiplicative,0.0,0.0
23,multiplicative,0.0,0.0
24,multiplicative,0.0,0.0
25,direct,0.0,94.0
26,direct,0.0,92.0
27,direct,0.0,84.0
28,direct,0.0,96.0
29,direct,0.0,92.0
30,direct,0.0,84.0
31,direct,0.0,92.0
32,direct,0.0,92.0
33,direct,0.0,92.0
34,direct,0.0,92.0
35,direct,0.0,92.0
36,direct,0.0,94.0
37,direct,0.0,80.0
38,direct,0.0,94.0
39,direct,0.0,84.0
40,direct,0.0,90.0
41,direct,0.0,92.0
42,direct,0.0,92.0
43,direct,0.0,72.0
44,direct,0.0,90.0
45,direct,0.0,88.0
46,direct,0.0,88.0
47,direct,0.0,88.0
48,direct,0.0,92.0
49,direct,0.0,84.0
50,optimized,0.0,0.0
51,optimized,0.0,0.0
52,optimized,0.0,0.0
53,optimized,0.0,0.0
54,optimized,0.0,0.0
55,optimized,0.0,0.0
56,optimized,0.0,0.0
57,optimized,0.0,0.0
58,optimized,0.0,0.0
59,optimized,0.0,0.0
60,optimized,0.0,0.0
61,optimized,0.0,0.0
62,optimized,0.0,0.0
63,optimized,0.0,0.0
64,optimized,0.0,0.0
65,optimized,0.0,0.0
66,optimized,0.0,0.0
67,optimized,0.0,0.0
68,optimized,0.0,0.0
69,optimized,0.0,0.0
70,optimized,0.0,0.0
71,optimized,0.0,0.0
72,optimized,0.0,0.0
73,optimized,0.0,0.0
74,optimized,0.0,0.0
75,step_optimized,0.0,0.0
76,step_optimized,0.0,0.0
77,step_optimized,0.0,0.0
78,step_optimized,0.0,0.0
79,step_optimized,0.0,0.0
80,step_optimized,0.0,0.0
81,step_optimized,0.0,0.0
82,step_optimized,0.0,0.0
83,step_optimized,0.0,0.0
84,step_optimized,0.0,0.0
85,step_optimized,0.0,0.0
86,step_optimized,0.0,0.0
87,step_optimized,0.0,0.0
88,step_optimized,0.0,0.0
89,step_optimized,0.0,0.0
90,step_optimized,0.0,0.0
91,step_optimized,0.0,0.0
92,step_optimized,0.0,0.0
93,step_optimized,0.0,0.0
94,step_optimized,0.0,0.0
95,step_optimized,0.0,0.0
96,step_optimized,0.0,0.0
97,step_optimized,0.0,0.0
98,step_optimized,0.0,0.0
99,step_optimized,0.0,0.0
100,multiplicative_optimized,0.0,0.0
101,multiplicative_optimized,0.0,0.0
102,multiplicative_optimized,0.0,0.0
103,multiplicative_optimized,0.0,0.0
104,multiplicative_optimized,0.0,0.0
105,multiplicative_optimized,0.0,0.0
106,multiplicative_optimized,0.0,0.0
107,multiplicative_optimized,0.0,0.0
108,multiplicative_optimized,0.0,0.0
109,multiplicative_optimized,0.0,0.0
110,multiplicative_optimized,0.0,0.0
111,multiplicative_optimized,0.0,0.0
112,multiplicative_optimized,0.0,0.0
113,multiplicative_optimized,0.0,0.0
114,multiplicative_optimized,0.0,0.0
115,multiplicative_optimized,0.0,0.0
116,multiplicative_optimized,0.0,0.0
117,multiplicative_optimized,0.0,0.0
118,multiplicative_optimized,0.0,0.0
119,multiplicative_optimized,0.0,0.0
120,multiplicative_optimized,0.0,0.0
121,multiplicative_optimized,0.0,0.0
122,multiplicative_optimized,0.0,0.0
123,multiplicative_optimized,0.0,0.0
124,multiplicative_optimized,0.0,0.0
125,multiplicative,0.001,100.0
126,multiplicative,0.001,98.0
127,multiplicative,0.001,94.0
128,multiplicative,0.001,100.0
129,multiplicative,0.001,100.0
130,multiplicative,0.001,94.0
131,multiplicative,0.001,98.0
132,multiplicative,0.001,100.0
133,multiplicative,0.001,100.0
134,multiplicative,0.001,100.0
135,multiplicative,0.001,96.0
136,multiplicative,0.001,100.0
137,multiplicative,0.001,100.0
138,multiplicative,0.001,96.0
139,multiplicative,0.001,100.0
140,multiplicative,0.001,100.0
141,multiplicative,0.001,100.0
142,multiplicative,0.001,100.0
143,multiplicative,0.001,100.0
144,multiplicative,0.001,98.0
145,multiplicative,0.001,100.0
146,multiplicative,0.001,100.0
147,multiplicative,0.001,100.0
148,multiplicative,0.001,100.0
149,multiplicative,0.001,98.0
150,direct,0.001,98.0
151,direct,0.001,100.0
152,direct,0.001,100.0
153,direct,0.001,100.0
154,direct,0.001,100.0
155,direct,0.001,100.0
156,direct,0.001,100.0
157,direct,0.001,100.0
158,direct,0.001,100.0
159,direct,0.001,100.0
160,direct,0.001,100.0
161,direct,0.001,100.0
162,direct,0.001,94.0
163,direct,0.001,100.0
164,direct,0.001,98.0
165,direct,0.001,100.0
166,direct,0.001,98.0
167,direct,0.001,100.0
168,direct,0.001,100.0
169,direct,0.001,100.0
170,direct,0.001,100.0
171,direct,0.001,100.0
172,direct,0.001,100.0
173,direct,0.001,100.0
174,direct,0.001,100.0
175,optimized,0.001,100.0
176,optimized,0.001,100.0
177,optimized,0.001,90.0
178,optimized,0.001,100.0
179,optimized,0.001,100.0
180,optimized,0.001,100.0
181,optimized,0.001,100.0
182,optimized,0.001,100.0
183,optimized,0.001,100.0
184,optimized,0.001,100.0
185,optimized,0.001,100.0
186,optimized,0.001,100.0
187,optimized,0.001,100.0
188,optimized,0.001,100.0
189,optimized,0.001,100.0
190,optimized,0.001,100.0
191,optimized,0.001,100.0
192,optimized,0.001,100.0
193,optimized,0.001,100.0
194,optimized,0.001,100.0
195,optimized,0.001,100.0
196,optimized,0.001,100.0
197,optimized,0.001,100.0
198,optimized,0.001,100.0
199,optimized,0.001,100.0
200,step_optimized,0.001,100.0
201,step_optimized,0.001,98.0
202,step_optimized,0.001,96.0
203,step_optimized,0.001,96.0
204,step_optimized,0.001,100.0
205,step_optimized,0.001,98.0
206,step_optimized,0.001,100.0
207,step_optimized,0.001,92.0
208,step_optimized,0.001,100.0
209,step_optimized,0.001,94.0
210,step_optimized,0.001,92.0
211,step_optimized,0.001,94.0
212,step_optimized,0.001,96.0
213,step_optimized,0.001,100.0
214,step_optimized,0.001,100.0
215,step_optimized,0.001,94.0
216,step_optimized,0.001,100.0
217,step_optimized,0.001,98.0
218,step_optimized,0.001,100.0
219,step_optimized,0.001,100.0
220,step_optimized,0.001,100.0
221,step_optimized,0.001,88.0
222,step_optimized,0.001,100.0
223,step_optimized,0.001,94.0
224,step_optimized,0.001,88.0
225,multiplicative_optimized,0.001,100.0
226,multiplicative_optimized,0.001,94.0
227,multiplicative_optimized,0.001,98.0
228,multiplicative_optimized,0.001,98.0
229,multiplicative_optimized,0.001,98.0
230,multiplicative_optimized,0.001,98.0
231,multiplicative_optimized,0.001,100.0
232,multiplicative_optimized,0.001,100.0
233,multiplicative_optimized,0.001,98.0
234,multiplicative_optimized,0.001,100.0
235,multiplicative_optimized,0.001,100.0
236,multiplicative_optimized,0.001,100.0
237,multiplicative_optimized,0.001,100.0
238,multiplicative_optimized,0.001,100.0
239,multiplicative_optimized,0.001,98.0
240,multiplicative_optimized,0.001,100.0
241,multiplicative_optimized,0.001,100.0
242,multiplicative_optimized,0.001,100.0
243,multiplicative_optimized,0.001,100.0
244,multiplicative_optimized,0.001,100.0
245,multiplicative_optimized,0.001,98.0
246,multiplicative_optimized,0.001,100.0
247,multiplicative_optimized,0.001,100.0
248,multiplicative_optimized,0.001,100.0
249,multiplicative_optimized,0.001,100.0
250,multiplicative,1e-05,100.0
251,multiplicative,1e-05,100.0
252,multiplicative,1e-05,98.0
253,multiplicative,1e-05,100.0
254,multiplicative,1e-05,100.0
255,multiplicative,1e-05,98.0
256,multiplicative,1e-05,100.0
257,multiplicative,1e-05,100.0
258,multiplicative,1e-05,100.0
259,multiplicative,1e-05,100.0
260,multiplicative,1e-05,100.0
261,multiplicative,1e-05,100.0
