,conditional_mode,Noise level,Average difference
0,multiplicative,0.0,0.023712033977091145
1,multiplicative,0.0,0.007112531403735625
2,multiplicative,0.0,0.025108784392649665
3,multiplicative,0.0,0.01509989774729403
4,multiplicative,0.0,0.04037112169562339
5,multiplicative,0.0,0.01902273313488515
6,multiplicative,0.0,0.021241918348131793
7,multiplicative,0.0,0.04094504493630481
8,multiplicative,0.0,0.013993355448085559
9,multiplicative,0.0,0.02095698577080025
10,multiplicative,0.0,0.04218760108077655
11,multiplicative,0.0,0.026299376028055866
12,multiplicative,0.0,0.035930397221136876
13,multiplicative,0.0,0.22417468700979737
14,multiplicative,0.0,0.02391422513340728
15,multiplicative,0.0,0.030571256687042803
16,multiplicative,0.0,0.01453695506516243
17,multiplicative,0.0,0.024740169714288503
18,multiplicative,0.0,0.013613719461334356
19,multiplicative,0.0,0.010770203010445054
20,multiplicative,0.0,0.031045715627549413
21,multiplicative,0.0,0.035976825356934077
22,multiplicative,0.0,0.02959141301131324
23,multiplicative,0.0,0.03740847624718871
24,multiplicative,0.0,0.02565400092263998
25,direct,0.0,0.02371180479222376
26,direct,0.0,0.007966042407850737
27,direct,0.0,0.025109004980492212
28,direct,0.0,0.015100197781360177
29,direct,0.0,0.040370793070914936
30,direct,0.0,0.019022877640843996
31,direct,0.0,0.02124175105980107
32,direct,0.0,0.04094515637332284
33,direct,0.0,0.013993460919549372
34,direct,0.0,0.020956769892830355
35,direct,0.0,0.04203997557077412
36,direct,0.0,0.026299357203237395
37,direct,0.0,0.03593027626540261
38,direct,0.0,0.22417447134390373
39,direct,0.0,0.023913979402157826
40,direct,0.0,0.030571596888214626
41,direct,0.0,0.014537057533820504
42,direct,0.0,0.024740034117922586
43,direct,0.0,0.013613837196992712
44,direct,0.0,0.010770274620402366
45,direct,0.0,0.031045805607178577
46,direct,0.0,0.035976870342932635
47,direct,0.0,0.029591239040231965
48,direct,0.0,0.09406884736685725
49,direct,0.0,0.025653982645610696
50,optimized,0.0,0.023712033977091145
51,optimized,0.0,0.007112531403735625
52,optimized,0.0,0.025108784392649665
53,optimized,0.0,0.01509989774729403
54,optimized,0.0,0.04037112169562339
55,optimized,0.0,0.01902273313488515
56,optimized,0.0,0.021241918348131793
57,optimized,0.0,0.04094504493630481
58,optimized,0.0,0.013993355448085559
59,optimized,0.0,0.02095698577080025
60,optimized,0.0,0.04218760108077655
61,optimized,0.0,0.026299376028055866
62,optimized,0.0,0.035930397221136876
63,optimized,0.0,0.22417468700979737
64,optimized,0.0,0.02391422513340728
65,optimized,0.0,0.030571256687042803
66,optimized,0.0,0.01453695506516243
67,optimized,0.0,0.024740169714288503
68,optimized,0.0,0.013613719461334356
69,optimized,0.0,0.010770203010445054
70,optimized,0.0,0.031045715627549413
71,optimized,0.0,0.035976825356934077
72,optimized,0.0,0.02959141301131324
73,optimized,0.0,0.03740847624718871
74,optimized,0.0,0.02565400092263998
75,step_optimized,0.0,0.1161826333488825
76,step_optimized,0.0,0.1629573572724125
77,step_optimized,0.0,0.024143938873661282
78,step_optimized,0.0,0.017652959087094616
79,step_optimized,0.0,0.06128480267461579
80,step_optimized,0.0,0.1551024859888606
81,step_optimized,0.0,0.02211059964477336
82,step_optimized,0.0,0.04940779304312011
83,step_optimized,0.0,0.01898625293096811
84,step_optimized,0.0,0.027006172456924327
85,step_optimized,0.0,0.0625021589326015
86,step_optimized,0.0,0.0327226569728931
87,step_optimized,0.0,0.08532635175226141
88,step_optimized,0.0,0.4412688279575473
89,step_optimized,0.0,0.024653545493164196
90,step_optimized,0.0,0.03302184038714128
91,step_optimized,0.0,0.15495714206839545
92,step_optimized,0.0,0.032269481328900645
93,step_optimized,0.0,0.014807402000465658
94,step_optimized,0.0,0.01948037460510513
95,step_optimized,0.0,0.055798126524069715
96,step_optimized,0.0,0.0450370863584406
97,step_optimized,0.0,0.04457511643866897
98,step_optimized,0.0,0.0944837038608517
99,step_optimized,0.0,0.03034117788569577
100,multiplicative_optimized,0.0,0.023712033977091145
101,multiplicative_optimized,0.0,0.007112531403735625
102,multiplicative_optimized,0.0,0.025108784392649665
103,multiplicative_optimized,0.0,0.01509989774729403
104,multiplicative_optimized,0.0,0.04037112169562339
105,multiplicative_optimized,0.0,0.01902273313488515
106,multiplicative_optimized,0.0,0.021241918348131793
107,multiplicative_optimized,0.0,0.04094504493630481
108,multiplicative_optimized,0.0,0.013993355448085559
109,multiplicative_optimized,0.0,0.02095698577080025
110,multiplicative_optimized,0.0,0.04218760108077655
111,multiplicative_optimized,0.0,0.026299376028055866
112,multiplicative_optimized,0.0,0.035930397221136876
113,multiplicative_optimized,0.0,0.22417468700979737
114,multiplicative_optimized,0.0,0.02391422513340728
115,multiplicative_optimized,0.0,0.030571256687042803
116,multiplicative_optimized,0.0,0.01453695506516243
117,multiplicative_optimized,0.0,0.024740169714288503
118,multiplicative_optimized,0.0,0.013613719461334356
119,multiplicative_optimized,0.0,0.010770203010445054
120,multiplicative_optimized,0.0,0.031045715627549413
121,multiplicative_optimized,0.0,0.035976825356934077
122,multiplicative_optimized,0.0,0.02959141301131324
123,multiplicative_optimized,0.0,0.03740847624718871
124,multiplicative_optimized,0.0,0.02565400092263998
125,multiplicative,0.001,0.02361575781809317
126,multiplicative,0.001,0.15510331342372194
127,multiplicative,0.001,0.025096774067413386
128,multiplicative,0.001,0.015085395840244981
129,multiplicative,0.001,0.04088550977657392
130,multiplicative,0.001,0.018897921568087717
131,multiplicative,0.001,0.021104839730155135
132,multiplicative,0.001,0.04101231465054279
133,multiplicative,0.001,0.013994764107522248
134,multiplicative,0.001,9251.435540031047
135,multiplicative,0.001,0.04204855305078233
136,multiplicative,0.001,9132.967024829433
137,multiplicative,0.001,0.03597611403199323
138,multiplicative,0.001,6099.507856887297
139,multiplicative,0.001,0.0240410138573312
140,multiplicative,0.001,31.07015688651514
141,multiplicative,0.001,0.014600012507866866
142,multiplicative,0.001,0.02479882414462458
143,multiplicative,0.001,411.40781041983985
144,multiplicative,0.001,0.01061123960186638
145,multiplicative,0.001,486.0697184441894
146,multiplicative,0.001,0.03581776875694339
147,multiplicative,0.001,10806.05701274125
148,multiplicative,0.001,0.03735604296781288
149,multiplicative,0.001,0.055229828359337596
150,direct,0.001,881649508049.3578
151,direct,0.001,168069201281.19
152,direct,0.001,0.025096994071077343
153,direct,0.001,146799287889.15576
154,direct,0.001,0.04088518367283635
155,direct,0.001,0.018898070655583684
156,direct,0.001,46628591364.58512
157,direct,0.001,0.041012428514300356
158,direct,0.001,13543880555.263206
159,direct,0.001,0.02100561014073937
160,direct,0.001,0.04201223559708331
161,direct,0.001,0.02616719372635535
162,direct,0.001,0.03597598451059374
163,direct,0.001,0.2243469274017494
164,direct,0.001,180153822523.45166
165,direct,0.001,0.030600765120706225
166,direct,0.001,0.014600108185676605
